title,model_details,year,agency,price,monthly_payment,link,image_path
סובארו פורסטר,2.0I אוט׳ 2.0 (158 כ״ס),2008 • יד 5,,"17,000 ₪",,https://www.yad2.co.il://item/w2y6jdm2,https://img.yad2.co.il/Pic/202504/26/1_3/o/y2_1pa_010158_20250426123042.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6I ידני 1.6 (114 כ״ס) [2014-2016],2015 • יד 3,,"45,000 ₪",,https://www.yad2.co.il://item/qxhx3k1z,https://img.yad2.co.il/Pic/202504/26/1_1/o/y2_1pa_010522_20250426110159.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Z אוט׳ 2.5 (182 כ״ס),2020 • יד 2,,"102,000 ₪",,https://www.yad2.co.il://item/4i8hhx7v,https://img.yad2.co.il/Pic/202503/26/1_3/o/y2_1pa_010185_20250326071433.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,LX אוט׳ סדאן 4 דל 1.6 (95 כ״ס) [2004-2006],2006 • יד 3,,"6,000 ₪",,https://www.yad2.co.il://item/f9le6q3p,https://img.yad2.co.il/Pic/202504/25/1_1/o/y2_1pa_010020_20250425184509.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X4 RX אוט׳ סדאן 4 דל 2.0 (150 כ״ס),2011 • יד 3,,"14,200 ₪",,https://www.yad2.co.il://item/0md45o51,https://img.yad2.co.il/Pic/202504/22/1_1/o/y2_1pa_010915_20250422164354.jpeg?w=3840&h=3840&c=9
סובארו B4/לגאסי,Top אוט׳ 2.0 (150 כ״ס) [2009-2012],2012 • יד 3,,"19,000 ₪",,https://www.yad2.co.il://item/cc59f2ku,https://img.yad2.co.il/Pic/202504/25/1_1/o/y2_1pa_010578_20250425165133.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6 Kyoto אוט׳ 1.6 (114 כ״ס),2017 • יד 2,,"53,000 ₪",,https://www.yad2.co.il://item/9dqrfg2s,https://img.yad2.co.il/Pic/202504/11/1_1/o/y2_1pa_010568_20250411204610.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,XS אוט׳ 2.5 (182 כ״ס),2021 • יד 1,,"137,850 ₪",,https://www.yad2.co.il://item/zqxpv9ry,https://img.yad2.co.il/Pic/202503/21/1_3/o/y2_1pa_010129_20250321154109.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ סדאן 4 דל 1.5 (107 כ״ס),2009 • יד 3,,"7,900 ₪",,https://www.yad2.co.il://item/1x8kn2cb,
סובארו פורסטר,B אוט׳ 2.0 (150 כ״ס),2010 • יד 1,,"28,000 ₪",,https://www.yad2.co.il://item/5nvs3a1z,https://img.yad2.co.il/Pic/202504/25/1_3/o/y2_1pa_010806_20250425130439.jpeg?w=3840&h=3840&c=9
סובארו BRZ,Premium ידני 2.4 (230 כ״ס),2023 • יד 1,,"199,000 ₪",,https://www.yad2.co.il://item/fhwez9lr,https://img.yad2.co.il/Pic/202504/21/1_1/o/y2_1pa_010659_20250421154341.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2021-2025],2022 • יד 1,,"135,000 ₪",,https://www.yad2.co.il://item/mqfndlj9,https://img.yad2.co.il/Pic/202504/10/1_3/o/y2_1pa_010254_20250410172730.jpeg?w=3840&h=3840&c=9
